timestamp,x,y,z
1715853802.089750,-0.063100,1.790179,-0.157170
1715853802.089750,-0.559571,1.473217,-0.532998
1715853802.097738,-0.063100,1.790179,-0.157170
1715853802.097738,-0.559527,1.473256,-0.532894
1715853802.107670,-0.063100,1.790179,-0.157170
1715853802.107670,-0.559523,1.473284,-0.532950
1715853802.117573,-0.063100,1.790179,-0.157170
1715853802.117573,-0.559523,1.473284,-0.532950
1715853802.127617,-0.063100,1.790179,-0.157170
1715853802.127617,-0.559547,1.473251,-0.532976
1715853802.137552,-0.063100,1.790179,-0.157170
1715853802.137552,-0.559547,1.473251,-0.532976
1715853802.147853,-0.063372,1.790186,-0.157279
1715853802.147853,-0.559547,1.473251,-0.532976
1715853802.157585,-0.063100,1.790179,-0.157170
1715853802.157585,-0.559547,1.473251,-0.532976
1715853802.167571,-0.063100,1.790179,-0.157170
1715853802.167571,-0.559571,1.473217,-0.532998
1715853802.177865,-0.063100,1.790179,-0.157170
1715853802.177865,-0.559547,1.473251,-0.532976
1715853802.188039,-0.063100,1.790179,-0.157170
1715853802.188039,-0.559547,1.473251,-0.532976
1715853802.197793,-0.062820,1.790123,-0.157298
1715853802.197793,-0.559523,1.473284,-0.532950
1715853802.208065,-0.063100,1.790179,-0.157170
1715853802.208065,-0.559523,1.473284,-0.532950
1715853802.218133,-0.063100,1.790179,-0.157170
1715853802.218133,-0.559523,1.473284,-0.532950
1715853802.228152,-0.062922,1.790199,-0.157245
1715853802.228152,-0.559547,1.473251,-0.532976
1715853802.238264,-0.063100,1.790179,-0.157170
1715853802.238264,-0.559523,1.473284,-0.532950
1715853802.247902,-0.063100,1.790179,-0.157170
1715853802.247902,-0.559523,1.473284,-0.532950
1715853802.258054,-0.062820,1.790123,-0.157298
1715853802.258054,-0.559523,1.473284,-0.532950
1715853802.267916,-0.063100,1.790179,-0.157170
1715853802.267916,-0.559523,1.473284,-0.532950
1715853802.277823,-0.062820,1.790123,-0.157298
1715853802.277823,-0.559547,1.473251,-0.532976
1715853802.287974,-0.062820,1.790123,-0.157298
1715853802.287974,-0.559547,1.473251,-0.532976
1715853802.297815,-0.062922,1.790199,-0.157245
1715853802.297815,-0.559547,1.473251,-0.532976
1715853802.307750,-0.062820,1.790123,-0.157298
1715853802.307750,-0.559547,1.473251,-0.532976
1715853802.317847,-0.063100,1.790179,-0.157170
1715853802.317847,-0.559547,1.473251,-0.532976
1715853802.327899,-0.063100,1.790179,-0.157170
1715853802.327899,-0.559523,1.473284,-0.532950
1715853802.338265,-0.063100,1.790179,-0.157170
1715853802.338265,-0.559547,1.473251,-0.532976
1715853802.348246,-0.063100,1.790179,-0.157170
1715853802.348246,-0.559547,1.473251,-0.532976
1715853802.357845,-0.063100,1.790179,-0.157170
1715853802.357845,-0.559547,1.473251,-0.532976
1715853802.367954,-0.062820,1.790123,-0.157298
1715853802.367954,-0.559547,1.473251,-0.532976
1715853802.377835,-0.063100,1.790179,-0.157170
1715853802.377835,-0.559523,1.473284,-0.532950
1715853802.388784,-0.063100,1.790179,-0.157170
1715853802.388784,-0.559547,1.473251,-0.532976
1715853802.398246,-0.063100,1.790179,-0.157170
1715853802.398246,-0.559547,1.473251,-0.532976
1715853802.407860,-0.063100,1.790179,-0.157170
1715853802.407860,-0.559508,1.473185,-0.532983
1715853802.418008,-0.063100,1.790179,-0.157170
1715853802.418008,-0.559508,1.473185,-0.532983
1715853802.427804,-0.063100,1.790179,-0.157170
1715853802.427804,-0.559547,1.473251,-0.532976
1715853802.438212,-0.063100,1.790179,-0.157170
1715853802.438212,-0.559547,1.473251,-0.532976
1715853802.448061,-0.063100,1.790179,-0.157170
1715853802.448061,-0.559547,1.473251,-0.532976
1715853802.457945,-0.063100,1.790179,-0.157170
1715853802.457945,-0.559547,1.473251,-0.532976
1715853802.468144,-0.063100,1.790179,-0.157170
1715853802.468144,-0.559523,1.473284,-0.532950
1715853802.478036,-0.063100,1.790179,-0.157170
1715853802.478036,-0.559508,1.473185,-0.532983
1715853802.487954,-0.062922,1.790199,-0.157245
1715853802.487954,-0.559523,1.473284,-0.532950
1715853802.498100,-0.062922,1.790199,-0.157245
1715853802.498100,-0.559571,1.473217,-0.532998
1715853802.507838,-0.063100,1.790179,-0.157170
1715853802.507838,-0.559523,1.473284,-0.532950
1715853802.517763,-0.063100,1.790179,-0.157170
1715853802.517763,-0.559547,1.473251,-0.532976
1715853802.528052,-0.062820,1.790123,-0.157298
1715853802.528052,-0.559547,1.473251,-0.532976
1715853802.538112,-0.063100,1.790179,-0.157170
1715853802.538112,-0.559523,1.473284,-0.532950
1715853802.548101,-0.062820,1.790123,-0.157298
1715853802.548101,-0.559508,1.473185,-0.532983
1715853802.558140,-0.063100,1.790179,-0.157170
1715853802.558140,-0.559547,1.473251,-0.532976
1715853802.567875,-0.062820,1.790123,-0.157298
1715853802.567875,-0.559531,1.473153,-0.533009
1715853802.577798,-0.063100,1.790179,-0.157170
1715853802.577798,-0.559547,1.473251,-0.532976
1715853802.587956,-0.063100,1.790179,-0.157170
1715853802.587956,-0.559547,1.473251,-0.532976
1715853802.597858,-0.063100,1.790179,-0.157170
1715853802.597858,-0.559523,1.473284,-0.532950
1715853802.607714,-0.063100,1.790179,-0.157170
1715853802.607714,-0.559523,1.473284,-0.532950
1715853802.617972,-0.062820,1.790123,-0.157298
1715853802.617972,-0.559547,1.473251,-0.532976
1715853802.628316,-0.062922,1.790199,-0.157245
1715853802.628316,-0.559523,1.473284,-0.532950
1715853802.637913,-0.063100,1.790179,-0.157170
1715853802.637913,-0.559547,1.473251,-0.532976
1715853802.648079,-0.062820,1.790123,-0.157298
1715853802.648079,-0.559523,1.473284,-0.532950
1715853802.657763,-0.062820,1.790123,-0.157298
1715853802.657763,-0.559523,1.473284,-0.532950
1715853802.667893,-0.063100,1.790179,-0.157170
1715853802.667893,-0.559523,1.473284,-0.532950
1715853802.677801,-0.063100,1.790179,-0.157170
1715853802.677801,-0.559531,1.473153,-0.533009
1715853802.688114,-0.062820,1.790123,-0.157298
1715853802.688114,-0.559523,1.473284,-0.532950
1715853802.697805,-0.063100,1.790179,-0.157170
1715853802.697805,-0.559571,1.473217,-0.532998
1715853802.707959,-0.063100,1.790179,-0.157170
1715853802.707959,-0.559547,1.473249,-0.532972
1715853802.717823,-0.063100,1.790179,-0.157170
1715853802.717823,-0.559523,1.473284,-0.532950
1715853802.727956,-0.063100,1.790179,-0.157170
1715853802.727956,-0.559523,1.473284,-0.532950
1715853802.738108,-0.063100,1.790179,-0.157170
1715853802.738108,-0.559547,1.473249,-0.532972
1715853802.747938,-0.063100,1.790179,-0.157170
1715853802.747938,-0.559547,1.473251,-0.532976
1715853802.757948,-0.063100,1.790179,-0.157170
1715853802.757948,-0.559571,1.473217,-0.532998
1715853802.767866,-0.062820,1.790123,-0.157298
1715853802.767866,-0.559523,1.473284,-0.532950
1715853802.777798,-0.063100,1.790179,-0.157170
1715853802.777798,-0.559547,1.473251,-0.532976
1715853802.787918,-0.063100,1.790179,-0.157170
1715853802.787918,-0.559523,1.473284,-0.532950
1715853802.798222,-0.063100,1.790179,-0.157170
1715853802.798222,-0.559547,1.473251,-0.532976
1715853802.807880,-0.062820,1.790123,-0.157298
1715853802.807880,-0.559523,1.473284,-0.532950
1715853802.817916,-0.062922,1.790199,-0.157245
1715853802.817916,-0.559547,1.473251,-0.532976
1715853802.827814,-0.062820,1.790123,-0.157298
1715853802.827814,-0.559523,1.473284,-0.532950
1715853802.837955,-0.063100,1.790179,-0.157170
1715853802.837955,-0.559523,1.473284,-0.532950
1715853802.848190,-0.062820,1.790123,-0.157298
1715853802.848190,-0.559527,1.473256,-0.532894
1715853802.857700,-0.062922,1.790199,-0.157245
1715853802.857700,-0.559523,1.473284,-0.532950
1715853802.868096,-0.062820,1.790123,-0.157298
1715853802.868096,-0.559547,1.473251,-0.532976
1715853802.878144,-0.063100,1.790179,-0.157170
1715853802.878144,-0.559547,1.473251,-0.532976
1715853802.888019,-0.063100,1.790179,-0.157170
1715853802.888019,-0.559547,1.473251,-0.532976
1715853802.897857,-0.062820,1.790123,-0.157298
1715853802.897857,-0.559547,1.473251,-0.532976
1715853802.907875,-0.063100,1.790179,-0.157170
1715853802.907875,-0.559547,1.473251,-0.532976
1715853802.917882,-0.062820,1.790123,-0.157298
1715853802.917882,-0.559523,1.473284,-0.532950
1715853802.928190,-0.063100,1.790179,-0.157170
